date,country,D,H,I,M,S
2021-10-27,Japan,23,0,0,98,0
2021-10-27,Sweden,1,0,0,8,0
2021-10-28,Afghanistan,5,0,0,31,1
2021-10-28,Japan,23,0,0,98,0
2021-10-28,Sweden,1,0,0,8,0
2021-10-29,Afghanistan,5,0,0,31,1
2021-10-29,Japan,23,0,0,98,0
2021-10-29,Sweden,1,0,0,8,0
2021-10-30,Afghanistan,5,0,0,31,1
2021-10-30,Japan,23,0,0,98,0
2021-10-30,Sweden,1,0,0,8,0
2021-10-31,Afghanistan,5,0,0,31,1
2021-10-31,Japan,23,0,0,98,0
2021-10-31,Sweden,1,0,0,8,0
2021-11-01,Afghanistan,5,0,0,31,1
2021-11-01,Japan,23,0,0,98,0
2021-11-01,Sweden,1,0,0,8,0
2021-11-02,Afghanistan,5,0,0,32,0
2021-11-02,Japan,23,0,0,98,0
2021-11-02,Sweden,1,0,0,8,0
2021-11-03,Afghanistan,5,0,0,32,0
2021-11-03,Japan,23,0,0,98,0
2021-11-03,Sweden,1,0,0,8,0
2021-11-04,Afghanistan,5,0,0,32,0
2021-11-04,Japan,23,0,0,98,0
2021-11-04,Sweden,1,0,0,8,0
2021-11-05,Afghanistan,5,0,0,32,0
2021-11-05,Japan,23,0,0,98,0
2021-11-05,Sweden,1,0,0,8,0
2021-11-06,Afghanistan,5,0,0,32,0
2021-11-06,Japan,23,0,0,98,0
2021-11-06,Sweden,1,0,0,8,0
2021-11-07,Afghanistan,5,0,0,32,0
2021-11-07,Japan,23,0,0,98,0
2021-11-07,Sweden,1,0,0,8,0
2021-11-08,Afghanistan,5,0,0,32,0
2021-11-08,Japan,23,0,0,98,0
2021-11-08,Sweden,1,0,0,8,0
2021-11-09,Afghanistan,5,0,0,32,0
2021-11-09,Japan,23,0,0,98,0
2021-11-09,Sweden,1,0,0,8,0
2021-11-10,Afghanistan,5,0,0,32,0
2021-11-10,Japan,23,0,0,98,0
2021-11-10,Sweden,1,0,0,8,0
2021-11-11,Afghanistan,5,0,0,32,0
2021-11-11,Japan,23,0,0,98,0
2021-11-11,Sweden,1,0,0,8,0
2021-11-12,Afghanistan,5,0,0,32,0
2021-11-12,Japan,23,0,0,98,0
2021-11-12,Sweden,1,0,0,8,0
2021-11-13,Afghanistan,5,0,0,32,0
2021-11-13,Japan,23,0,0,98,0
2021-11-13,Sweden,1,0,0,8,0
2021-11-14,Afghanistan,5,0,0,32,0
2021-11-14,Japan,23,0,0,98,0
2021-11-14,Sweden,1,0,0,8,0
2021-11-15,Afghanistan,5,0,0,32,0
2021-11-15,Japan,23,0,0,98,0
2021-11-15,Sweden,1,0,0,8,0
2021-11-16,Afghanistan,5,0,0,32,0
2021-11-16,Japan,23,0,0,98,0
2021-11-16,Sweden,1,0,0,8,0
2021-11-17,Afghanistan,5,0,0,32,0
2021-11-17,Japan,23,0,0,98,0
2021-11-17,Sweden,1,0,0,8,0
2021-11-18,Afghanistan,5,0,0,32,0
2021-11-18,Japan,23,0,0,98,0
2021-11-18,Sweden,1,0,0,8,0
2021-11-19,Afghanistan,5,0,0,32,0
2021-11-19,Japan,23,0,0,98,0
2021-11-19,Sweden,1,0,0,8,0
2021-11-20,Afghanistan,5,0,0,32,0
2021-11-20,Japan,23,0,0,98,0
2021-11-20,Sweden,1,0,0,8,0
2021-11-21,Afghanistan,5,0,0,32,0
2021-11-21,Japan,23,0,0,98,0
2021-11-21,Sweden,1,0,0,8,0
2021-11-22,Afghanistan,5,0,0,32,0
2021-11-22,Japan,23,0,0,98,0
2021-11-22,Sweden,1,0,0,8,0
2021-11-23,Afghanistan,5,0,0,32,0
2021-11-23,Japan,23,0,0,98,0
2021-11-23,Sweden,1,0,0,8,0
2021-11-24,Afghanistan,5,0,0,32,0
2021-11-24,Japan,23,0,0,98,0
2021-11-24,Sweden,1,0,0,8,0
2021-11-25,Afghanistan,5,0,0,32,0
2021-11-25,Japan,23,0,0,98,0
2021-11-25,Sweden,1,0,0,8,0
2021-11-26,Afghanistan,5,0,0,32,0
2021-11-26,Japan,23,0,0,98,0
2021-11-26,Sweden,1,0,0,8,0
2021-11-27,Afghanistan,5,0,0,32,0
2021-11-27,Japan,23,0,0,98,0
2021-11-27,Sweden,1,0,0,8,0
2021-11-28,Afghanistan,5,0,0,32,0
2021-11-28,Japan,23,0,0,98,0
2021-11-28,Sweden,1,0,0,8,0
2021-11-29,Afghanistan,5,0,0,32,0
2021-11-29,Japan,23,0,0,98,0
2021-11-29,Sweden,1,0,0,8,0
2021-11-30,Afghanistan,5,0,0,32,0
2021-11-30,Japan,23,0,0,98,0
2021-11-30,Sweden,1,0,0,8,0
2021-12-01,Afghanistan,5,0,0,32,0
2021-12-01,Japan,23,0,0,98,0
2021-12-01,Sweden,1,0,0,8,0
2021-12-02,Afghanistan,5,0,0,32,0
2021-12-02,Japan,23,0,0,98,0
2021-12-02,Sweden,1,0,0,8,0
2021-12-03,Afghanistan,5,0,0,32,0
2021-12-03,Japan,23,0,0,98,0
2021-12-03,Sweden,1,0,0,8,0
2021-12-04,Afghanistan,5,0,0,32,0
2021-12-04,Japan,23,0,0,98,0
2021-12-04,Sweden,1,0,0,8,0
2021-12-05,Afghanistan,5,0,0,32,0
2021-12-05,Japan,23,0,0,98,0
2021-12-05,Sweden,1,0,0,8,0
2021-12-06,Afghanistan,5,0,0,32,0
2021-12-06,Japan,23,0,0,98,0
2021-12-06,Sweden,1,0,0,8,0
2021-12-07,Afghanistan,5,0,0,32,0
2021-12-07,Japan,23,0,0,98,0
2021-12-07,Sweden,1,0,0,8,0
2021-12-08,Afghanistan,5,0,0,32,0
2021-12-08,Japan,23,0,0,98,0
2021-12-08,Sweden,1,0,0,8,0
2021-12-09,Afghanistan,5,4,0,28,0
2021-12-09,Japan,23,2,0,96,0
2021-12-09,Sweden,1,0,0,8,0
2021-12-10,Afghanistan,5,4,1,27,0
2021-12-10,Japan,23,6,0,92,0
2021-12-10,Sweden,1,0,0,8,0
2021-12-11,Afghanistan,5,4,1,27,0
2021-12-11,Japan,23,5,3,90,0
2021-12-11,Sweden,1,0,0,8,0
2021-12-12,Afghanistan,5,2,3,27,0
2021-12-12,Japan,23,12,4,82,0
2021-12-12,Sweden,1,0,0,8,0
2021-12-13,Afghanistan,5,1,4,27,0
2021-12-13,Japan,23,15,6,77,0
2021-12-13,Sweden,1,0,0,8,0
2021-12-14,Afghanistan,5,1,3,28,0
2021-12-14,Japan,23,11,10,77,0
2021-12-14,Sweden,1,0,0,8,0
2021-12-15,Afghanistan,5,1,4,27,0
2021-12-15,Japan,23,11,10,76,1
2021-12-15,Sweden,1,0,0,8,0
2021-12-16,Afghanistan,5,0,3,29,0
2021-12-16,Japan,23,11,11,74,2
2021-12-16,Sweden,1,0,0,8,0
2021-12-17,Afghanistan,5,0,2,30,0
2021-12-17,Japan,23,9,12,74,3
2021-12-17,Sweden,1,0,0,8,0
2021-12-18,Afghanistan,5,0,2,30,0
2021-12-18,Japan,23,7,10,78,3
2021-12-18,Sweden,1,1,0,7,0
2021-12-19,Afghanistan,5,1,1,29,1
2021-12-19,Japan,23,6,8,79,5
2021-12-19,Sweden,1,1,0,7,0
2021-12-20,Afghanistan,5,2,0,28,2
2021-12-20,Japan,23,6,7,80,5
2021-12-20,Sweden,1,1,0,7,0
2021-12-21,Afghanistan,5,2,0,28,2
2021-12-21,Japan,23,4,6,82,6
2021-12-21,Sweden,1,1,0,7,0
2021-12-22,Afghanistan,5,2,2,26,2
2021-12-22,Japan,23,6,4,82,6
2021-12-22,Sweden,1,1,0,7,0
2021-12-23,Afghanistan,5,2,3,25,2
2021-12-23,Japan,23,7,5,80,6
2021-12-23,Sweden,1,1,0,7,0
2021-12-24,Afghanistan,5,2,3,25,2
2021-12-24,Japan,23,14,5,72,7
2021-12-24,Sweden,1,1,0,7,0
2021-12-25,Afghanistan,5,3,3,24,2
2021-12-25,Japan,23,17,8,64,9
2021-12-25,Sweden,1,1,0,7,0
2021-12-26,Afghanistan,5,2,2,25,3
2021-12-26,Japan,23,11,15,63,9
2021-12-26,Sweden,1,0,1,7,0
2021-12-27,Afghanistan,5,2,2,25,3
2021-12-27,Japan,23,13,17,58,10
2021-12-27,Sweden,1,0,1,7,0
2021-12-28,Afghanistan,5,1,3,25,3
2021-12-28,Japan,23,11,19,57,11
2021-12-28,Sweden,1,0,1,7,0
2021-12-29,Afghanistan,5,2,3,24,3
2021-12-29,Japan,23,14,16,57,11
2021-12-29,Sweden,1,1,1,6,0
2021-12-30,Afghanistan,5,3,2,24,3
2021-12-30,Japan,24,13,13,59,12
2021-12-30,Sweden,1,1,0,7,0
2021-12-31,Afghanistan,5,4,2,22,4
2021-12-31,Japan,25,12,14,58,12
2021-12-31,Sweden,1,2,0,6,0
2022-01-01,Afghanistan,5,2,3,22,5
2022-01-01,Japan,25,10,15,57,14
2022-01-01,Sweden,1,2,0,6,0
2022-01-02,Afghanistan,6,3,3,21,4
2022-01-02,Japan,25,8,15,61,12
2022-01-02,Sweden,1,2,0,6,0
2022-01-03,Afghanistan,6,5,3,20,3
2022-01-03,Japan,25,7,13,62,14
2022-01-03,Sweden,1,1,1,6,0
2022-01-04,Afghanistan,6,4,4,20,3
2022-01-04,Japan,25,4,11,68,13
2022-01-04,Sweden,1,0,2,6,0
2022-01-05,Afghanistan,6,3,3,21,4
2022-01-05,Japan,25,4,7,71,14
2022-01-05,Sweden,1,2,2,4,0
2022-01-06,Afghanistan,6,4,3,20,4
2022-01-06,Japan,25,7,5,70,14
2022-01-06,Sweden,1,2,2,4,0
2022-01-07,Afghanistan,6,4,3,20,4
2022-01-07,Japan,25,8,5,70,13
2022-01-07,Sweden,1,1,2,4,1
2022-01-08,Afghanistan,6,5,2,19,5
2022-01-08,Japan,25,10,3,70,13
2022-01-08,Sweden,1,2,1,3,2
2022-01-09,Afghanistan,6,2,4,20,5
2022-01-09,Japan,25,14,5,64,13
2022-01-09,Sweden,1,3,1,2,2
2022-01-10,Afghanistan,6,3,4,19,5
2022-01-10,Japan,25,15,6,63,12
2022-01-10,Sweden,1,3,2,1,2
2022-01-11,Afghanistan,6,1,6,19,5
2022-01-11,Japan,26,12,7,64,12
2022-01-11,Sweden,1,2,2,2,2
2022-01-12,Afghanistan,6,1,5,19,6
2022-01-12,Japan,27,11,7,64,12
2022-01-12,Sweden,1,1,3,2,2
2022-01-13,Afghanistan,6,1,2,21,7
2022-01-13,Japan,27,11,6,66,11
2022-01-13,Sweden,1,1,3,2,2
2022-01-14,Afghanistan,6,0,3,22,6
2022-01-14,Japan,27,8,8,67,11
2022-01-14,Sweden,1,1,2,3,2
2022-01-15,Afghanistan,6,0,1,24,6
2022-01-15,Japan,27,9,5,70,10
2022-01-15,Sweden,1,0,2,3,3
2022-01-16,Afghanistan,6,0,1,24,6
2022-01-16,Japan,27,10,5,68,11
2022-01-16,Sweden,1,0,1,3,4
2022-01-17,Afghanistan,6,0,1,24,6
2022-01-17,Japan,28,10,4,69,10
2022-01-17,Sweden,1,0,1,3,4
2022-01-18,Afghanistan,6,1,0,23,7
2022-01-18,Japan,28,8,5,68,12
2022-01-18,Sweden,1,0,1,3,4
2022-01-19,Afghanistan,6,1,0,24,6
2022-01-19,Japan,28,7,6,69,11
2022-01-19,Sweden,1,0,0,4,4
2022-01-20,Afghanistan,6,2,0,23,6
2022-01-20,Japan,28,7,6,69,11
2022-01-20,Sweden,1,0,0,4,4
2022-01-21,Afghanistan,6,3,0,22,6
2022-01-21,Japan,28,5,8,69,11
2022-01-21,Sweden,1,0,0,5,3
2022-01-22,Afghanistan,6,3,0,23,5
2022-01-22,Japan,28,4,5,73,11
2022-01-22,Sweden,1,0,0,6,2
2022-01-23,Afghanistan,6,4,0,23,4
2022-01-23,Japan,28,3,5,74,11
2022-01-23,Sweden,1,0,0,6,2
2022-01-24,Afghanistan,6,5,0,22,4
2022-01-24,Japan,28,3,4,75,11
2022-01-24,Sweden,1,0,0,6,2
2022-01-25,Afghanistan,6,2,3,22,4
2022-01-25,Japan,28,2,3,76,12
2022-01-25,Sweden,1,0,0,6,2
2022-01-26,Afghanistan,6,2,3,23,3
2022-01-26,Japan,28,2,2,78,11
2022-01-26,Sweden,1,0,0,6,2
2022-01-27,Afghanistan,6,2,3,24,2
2022-01-27,Japan,28,2,1,79,11
2022-01-27,Sweden,1,0,0,6,2
2022-01-28,Afghanistan,6,2,3,24,2
2022-01-28,Japan,28,2,1,80,10
2022-01-28,Sweden,1,0,0,6,2
2022-01-29,Afghanistan,6,2,0,27,2
2022-01-29,Japan,29,2,0,80,10
2022-01-29,Sweden,2,0,0,6,1
2022-01-30,Afghanistan,6,2,0,27,2
2022-01-30,Japan,30,2,0,80,9
2022-01-30,Sweden,2,0,0,7,0
2022-01-31,Afghanistan,6,2,0,27,2
2022-01-31,Japan,30,1,1,81,8
2022-01-31,Sweden,2,0,0,7,0
2022-02-01,Afghanistan,6,2,0,28,1
2022-02-01,Japan,31,1,1,82,6
2022-02-01,Sweden,2,0,0,7,0
2022-02-02,Afghanistan,6,2,0,28,1
2022-02-02,Japan,31,1,1,82,6
2022-02-02,Sweden,2,0,0,7,0
2022-02-03,Afghanistan,6,1,1,28,1
2022-02-03,Japan,31,1,1,82,6
2022-02-03,Sweden,2,0,0,7,0
2022-02-04,Afghanistan,6,1,1,28,1
2022-02-04,Japan,31,1,0,82,7
2022-02-04,Sweden,2,0,0,7,0
2022-02-05,Afghanistan,6,1,1,28,1
2022-02-05,Japan,31,1,0,84,5
2022-02-05,Sweden,2,0,0,7,0
2022-02-06,Afghanistan,6,1,1,28,1
2022-02-06,Japan,31,1,0,84,5
2022-02-06,Sweden,2,0,0,7,0
2022-02-07,Afghanistan,6,1,0,28,2
2022-02-07,Japan,31,1,0,84,5
2022-02-07,Sweden,2,0,0,7,0
2022-02-08,Afghanistan,6,1,0,28,2
2022-02-08,Japan,32,0,1,85,3
2022-02-08,Sweden,2,0,0,7,0
2022-02-09,Afghanistan,6,1,0,28,2
2022-02-09,Japan,32,0,1,85,3
2022-02-09,Sweden,2,0,0,7,0
2022-02-10,Afghanistan,6,1,0,28,2
2022-02-10,Japan,32,1,1,85,2
2022-02-10,Sweden,2,0,0,7,0
2022-02-11,Afghanistan,6,1,0,28,2
2022-02-11,Japan,32,1,1,85,2
2022-02-11,Sweden,2,0,0,7,0
2022-02-12,Afghanistan,6,2,0,28,1
2022-02-12,Japan,32,2,0,85,2
2022-02-12,Sweden,2,0,0,7,0
2022-02-13,Afghanistan,6,2,0,28,1
2022-02-13,Japan,32,2,0,85,2
2022-02-13,Sweden,2,0,0,7,0
2022-02-14,Afghanistan,6,2,0,28,1
2022-02-14,Japan,32,2,0,85,2
2022-02-14,Sweden,2,0,0,7,0
2022-02-15,Afghanistan,6,2,0,28,1
2022-02-15,Japan,32,1,1,85,2
2022-02-15,Sweden,2,0,0,7,0
2022-02-16,Afghanistan,6,2,0,28,1
2022-02-16,Japan,32,1,1,85,2
2022-02-16,Sweden,2,0,0,7,0
2022-02-17,Afghanistan,6,2,0,28,1
2022-02-17,Japan,32,1,1,85,2
2022-02-17,Sweden,2,0,0,7,0
2022-02-18,Afghanistan,6,2,0,28,1
2022-02-18,Japan,32,1,1,86,1
2022-02-18,Sweden,2,0,0,7,0
2022-02-19,Afghanistan,6,1,1,28,1
2022-02-19,Japan,32,0,1,87,1
2022-02-19,Sweden,2,0,0,7,0
2022-02-20,Afghanistan,6,1,1,28,1
2022-02-20,Japan,32,0,1,87,1
2022-02-20,Sweden,2,0,0,7,0
2022-02-21,Afghanistan,6,1,1,29,0
2022-02-21,Japan,32,0,1,87,1
2022-02-21,Sweden,2,0,0,7,0
2022-02-22,Afghanistan,6,1,1,29,0
2022-02-22,Japan,32,0,1,87,1
2022-02-22,Sweden,2,0,0,7,0
2022-02-23,Afghanistan,6,1,0,30,0
2022-02-23,Japan,32,0,0,88,1
2022-02-23,Sweden,2,0,0,7,0
2022-02-24,Afghanistan,6,1,0,30,0
2022-02-24,Japan,32,0,0,88,1
2022-02-24,Sweden,2,0,0,7,0
2022-02-25,Afghanistan,6,1,0,30,0
2022-02-25,Japan,32,0,0,88,1
2022-02-25,Sweden,2,0,0,7,0
2022-02-26,Afghanistan,6,1,0,30,0
2022-02-26,Japan,32,0,0,89,0
2022-02-26,Sweden,2,0,0,7,0
2022-02-27,Afghanistan,6,1,0,30,0
2022-02-27,Japan,32,0,0,89,0
2022-02-27,Sweden,2,0,0,7,0
2022-02-28,Afghanistan,6,1,0,30,0
2022-02-28,Japan,32,0,0,89,0
2022-02-28,Sweden,2,0,0,7,0
2022-03-01,Afghanistan,6,0,1,30,0
2022-03-01,Japan,32,0,0,89,0
2022-03-01,Sweden,2,0,0,7,0
2022-03-02,Afghanistan,6,1,1,29,0
2022-03-02,Japan,32,0,0,89,0
2022-03-02,Sweden,2,0,0,7,0
2022-03-03,Afghanistan,6,1,1,29,0
2022-03-03,Japan,32,0,0,89,0
2022-03-03,Sweden,2,0,0,7,0
2022-03-04,Afghanistan,6,1,1,29,0
2022-03-04,Japan,32,0,0,89,0
2022-03-04,Sweden,2,0,0,7,0
2022-03-05,Afghanistan,6,1,0,29,1
2022-03-05,Japan,32,0,0,89,0
2022-03-05,Sweden,2,0,0,7,0
2022-03-06,Afghanistan,6,0,1,29,1
2022-03-06,Japan,32,0,0,89,0
2022-03-06,Sweden,2,0,0,7,0
2022-03-07,Afghanistan,6,0,1,29,1
2022-03-07,Japan,32,0,0,89,0
2022-03-07,Sweden,2,0,0,7,0
2022-03-08,Afghanistan,6,0,1,29,1
2022-03-08,Japan,32,0,0,89,0
2022-03-08,Sweden,2,0,0,7,0
2022-03-09,Afghanistan,6,0,1,29,1
2022-03-09,Japan,32,0,0,89,0
2022-03-09,Sweden,2,0,0,7,0
2022-03-10,Afghanistan,6,0,0,29,2
2022-03-10,Japan,32,0,0,89,0
2022-03-10,Sweden,2,0,0,7,0
2022-03-11,Afghanistan,6,0,0,29,2
2022-03-11,Japan,32,0,0,89,0
2022-03-11,Sweden,2,0,0,7,0
2022-03-12,Afghanistan,6,0,0,29,2
2022-03-12,Japan,32,0,0,89,0
2022-03-12,Sweden,2,0,0,7,0
2022-03-13,Afghanistan,6,0,0,29,2
2022-03-13,Japan,32,0,0,89,0
2022-03-13,Sweden,2,0,0,7,0
2022-03-14,Afghanistan,6,0,0,29,2
2022-03-14,Japan,32,0,0,89,0
2022-03-14,Sweden,2,0,0,7,0
2022-03-15,Afghanistan,6,0,0,29,2
2022-03-15,Japan,32,0,0,89,0
2022-03-15,Sweden,2,0,0,7,0
2022-03-16,Afghanistan,6,0,0,29,2
2022-03-16,Japan,32,0,0,89,0
2022-03-16,Sweden,2,0,0,7,0
2022-03-17,Afghanistan,6,0,0,29,2
2022-03-17,Japan,32,0,0,89,0
2022-03-17,Sweden,2,0,0,7,0
2022-03-18,Afghanistan,6,0,0,29,2
2022-03-18,Japan,32,0,0,89,0
2022-03-18,Sweden,2,0,0,7,0
2022-03-19,Afghanistan,6,0,0,30,1
2022-03-19,Japan,32,0,0,89,0
2022-03-19,Sweden,2,0,0,7,0
2022-03-20,Afghanistan,6,0,0,30,1
2022-03-20,Japan,32,0,0,89,0
2022-03-20,Sweden,2,0,0,7,0
2022-03-21,Afghanistan,6,0,0,30,1
2022-03-21,Japan,32,0,0,89,0
2022-03-21,Sweden,2,0,0,7,0
2022-03-22,Afghanistan,6,0,0,30,1
2022-03-22,Japan,32,0,0,89,0
2022-03-22,Sweden,2,0,0,7,0
2022-03-23,Afghanistan,6,0,0,30,1
2022-03-23,Japan,32,0,0,89,0
2022-03-23,Sweden,2,0,0,7,0
2022-03-24,Afghanistan,6,0,0,31,0
2022-03-24,Japan,32,0,0,89,0
2022-03-24,Sweden,2,0,0,7,0
2022-03-25,Afghanistan,6,0,0,31,0
2022-03-25,Japan,32,0,0,89,0
2022-03-25,Sweden,2,0,0,7,0
2022-03-26,Afghanistan,6,0,0,31,0
2022-03-26,Japan,32,0,0,89,0
2022-03-26,Sweden,2,0,0,7,0
2022-03-27,Afghanistan,6,0,0,31,0
2022-03-27,Japan,32,0,0,89,0
2022-03-27,Sweden,2,0,0,7,0
2022-03-28,Afghanistan,6,0,0,31,0
2022-03-28,Japan,32,0,0,89,0
2022-03-28,Sweden,2,0,0,7,0
2022-03-29,Afghanistan,6,0,0,31,0
2022-03-29,Japan,32,0,0,89,0
2022-03-29,Sweden,2,0,0,7,0
2022-03-30,Afghanistan,6,0,0,31,0
2022-03-30,Japan,32,0,0,89,0
2022-03-30,Sweden,2,0,0,7,0
2022-03-31,Afghanistan,6,0,0,31,0
2022-03-31,Japan,32,0,0,89,0
2022-03-31,Sweden,2,0,0,7,0
2022-04-01,Afghanistan,6,0,0,31,0
2022-04-01,Japan,32,0,0,89,0
2022-04-01,Sweden,2,0,0,7,0
2022-04-02,Afghanistan,6,0,0,31,0
2022-04-02,Japan,32,0,0,89,0
2022-04-02,Sweden,2,0,0,7,0
2022-04-03,Afghanistan,6,0,0,31,0
2022-04-03,Japan,32,0,0,89,0
2022-04-03,Sweden,2,0,0,7,0
2022-04-04,Afghanistan,6,0,0,31,0
2022-04-04,Japan,32,0,0,89,0
2022-04-04,Sweden,2,0,0,7,0
2022-04-05,Afghanistan,6,0,0,31,0
2022-04-05,Japan,32,0,0,89,0
2022-04-05,Sweden,2,0,0,7,0
2022-04-06,Afghanistan,6,0,0,31,0
2022-04-06,Japan,32,0,0,89,0
2022-04-06,Sweden,2,0,0,7,0
2022-04-07,Afghanistan,6,0,0,31,0
2022-04-07,Japan,32,0,0,89,0
2022-04-07,Sweden,2,0,0,7,0
2022-04-08,Afghanistan,6,0,0,31,0
2022-04-08,Japan,32,0,0,89,0
2022-04-08,Sweden,2,0,0,7,0
2022-04-09,Afghanistan,6,0,0,31,0
2022-04-09,Japan,32,0,0,89,0
2022-04-09,Sweden,2,0,0,7,0
2022-04-10,Afghanistan,6,0,0,31,0
2022-04-10,Japan,32,0,0,89,0
2022-04-10,Sweden,2,0,0,7,0
2022-04-11,Afghanistan,6,0,0,31,0
2022-04-11,Japan,32,0,0,89,0
2022-04-11,Sweden,2,0,0,7,0
2022-04-12,Afghanistan,6,0,0,31,0
2022-04-12,Japan,32,0,0,89,0
2022-04-12,Sweden,2,0,0,7,0
2022-04-13,Afghanistan,6,1,0,30,0
2022-04-13,Japan,32,0,0,89,0
2022-04-13,Sweden,2,0,0,7,0
2022-04-14,Afghanistan,6,1,0,30,0
2022-04-14,Japan,32,2,0,87,0
2022-04-14,Sweden,2,0,0,7,0
2022-04-15,Afghanistan,6,3,0,28,0
2022-04-15,Japan,32,1,1,87,0
2022-04-15,Sweden,2,0,0,7,0
2022-04-16,Afghanistan,6,3,1,27,0
2022-04-16,Japan,32,2,1,86,0
2022-04-16,Sweden,2,0,0,7,0
2022-04-17,Afghanistan,6,2,2,27,0
2022-04-17,Japan,32,6,1,82,0
2022-04-17,Sweden,2,0,0,7,0
2022-04-18,Afghanistan,6,2,2,27,0
2022-04-18,Japan,32,7,1,81,0
2022-04-18,Sweden,2,0,0,7,0
2022-04-19,Afghanistan,6,2,2,27,0
2022-04-19,Japan,32,7,2,80,0
2022-04-19,Sweden,2,0,0,7,0
2022-04-20,Afghanistan,6,1,2,27,1
2022-04-20,Japan,32,7,4,78,0
2022-04-20,Sweden,2,0,0,7,0
2022-04-21,Afghanistan,6,1,1,28,1
2022-04-21,Japan,32,5,8,76,0
2022-04-21,Sweden,2,0,0,7,0
2022-04-22,Afghanistan,6,0,2,28,1
2022-04-22,Japan,32,5,9,75,0
2022-04-22,Sweden,2,0,0,7,0
2022-04-23,Afghanistan,6,0,2,28,1
2022-04-23,Japan,32,5,7,76,1
2022-04-23,Sweden,2,0,0,7,0
2022-04-24,Afghanistan,6,0,1,29,1
2022-04-24,Japan,32,4,6,78,1
2022-04-24,Sweden,2,0,0,7,0
2022-04-25,Afghanistan,6,1,1,28,1
2022-04-25,Japan,32,3,3,80,3
2022-04-25,Sweden,2,0,0,7,0
2022-04-26,Afghanistan,6,2,0,28,1
2022-04-26,Japan,32,3,3,80,3
2022-04-26,Sweden,2,0,0,7,0
2022-04-27,Afghanistan,6,1,1,28,1
2022-04-27,Japan,32,2,4,80,3
2022-04-27,Sweden,2,0,0,7,0
2022-04-28,Afghanistan,6,0,2,28,1
2022-04-28,Japan,32,7,3,75,4
2022-04-28,Sweden,2,0,0,7,0
2022-04-29,Afghanistan,6,1,2,27,1
2022-04-29,Japan,32,7,7,70,5
2022-04-29,Sweden,2,1,0,6,0
2022-04-30,Afghanistan,6,1,2,27,1
2022-04-30,Japan,32,6,10,67,6
2022-04-30,Sweden,2,1,0,6,0
2022-05-01,Afghanistan,6,0,2,27,2
2022-05-01,Japan,32,6,10,66,7
2022-05-01,Sweden,2,0,1,6,0
